Congress,County,City,Proj_Type,Co_Sponsor,Men,Women,Total,Lat,Long,Dup_Code,Place,ID,Proj_Class
Ninth,Sioux,"Alton, Orange City",Library Service,Library Board,0,4,4,43.0072424,-96.0583138,41,Orange City,363,Education and Childcare
Ninth,Osceola,"Melvin, Ocheyedan",Hot School Lunches,Board of Education and Public School,0,4,4,43.2874718,-95.609178,40,Melvin,347,Health and Nutrition
Ninth,O'Brien,"Sheldon, Sutherland",Library Service,"Library Board, Public Library",0,4,4,42.9741435,-95.4975058,39,Sutherland,382,Education and Childcare
Ninth,O'Brien,"Sanborn, Sheldon, Sutherland",Hot School Lunches,Public Schools,0,6,6,42.9741435,-95.4975058,38,Sutherland,345,Health and Nutrition
Ninth,O'Brien,"Primghar, Sheldon",Clerical Assistance,"Board of Education, County Farm Bureau, County Welfare Board, City",0,7,7,43.1810844,-95.8561126,37,Sheldon,344,Clerical
Ninth,Cherokee,"Cleghorn, Meriden",Hot School Lunches,Consolidated School,0,5,5,42.794706,-95.6344537,36,Meriden,327,Health and Nutrition
Ninth,Buena Vista,"Alta, Linn Grove, Storm Lake",Library Service,Public Library Boards,1,3,4,42.6453271,-95.1992916,35,Storm Lake,319,Education and Childcare
Eighth,Kossuth,"Burt, Wesley",Library Service,Boards of Education,0,7,7,43.0882981,-93.9902312,34,Wesley,303,Education and Childcare
Eighth,Hancock,"Corwith, Garner",Library Service,"Board of Education, City Library Board",0,9,9,42.9931986,-93.9575024,33,Corwith,297,Education and Childcare
Eighth,Hancock,"Britt, Garner",Clerical Assistance,County Board of Supervisors,0,7,7,43.1024603,-93.6018782,32,Garner,296,Clerical
Seventh,Taylor,"Blockton, Lenox, New Market, Shambaugh",Recreational Leadership,County Superintendent of Schools Office,0,2,2,40.6588798,-95.0319224,31,Shambaugh,275,Recreation
Seventh,Pottawattamie,"Council Bluffs, Oakland",Clerical Assistance,"County Relief Office, State Employment Service, County Auditor, City, Old Age Assistance Office, County Recorder, Sheriff's Office, County Farm Bureau, Farm Security Administration",0,34,34,41.3091596,-95.3966671,30,Oakland,266,Clerical
Seventh,Page,"Clarinda, Shenandoah",Clerical Assistance,"County Farm Bureau, Old Age Assistance Office, County Relief Office, County Recorder, State Employment Service, Farm Security Administration",1,12,13,40.7655528,-95.3722103,29,Shenandoah,257,Clerical
Seventh,Montgomery,"Red Oak, Villisca",Library Service,Public Library,0,6,6,40.9297115,-94.9760928,28,Villisca,255,Education and Childcare
Seventh,Mills,"Glenwood, Malvern",Clerical Assistance,"City, County Farm Bureau",1,4,5,41.002776,-95.585278,27,Malvern,252,Clerical
Seventh,Harrison,"Missouri Valley, Modale",Library Service,"Consolidated School, Public Library",0,6,6,41.6197132,-96.0119563,26,Modale,247,Education and Childcare
Seventh,Harrison,"Logan, Missouri Valley",Clerical Assistance,"County Welfare Board, Farm Bureau, Farm Security Administration",5,5,10,41.556381,-95.8877881,25,Missouri Valley,244,Clerical
Seventh,Fremont,"Hamburg, Sidney",Library Assistance,Public Library,1,1,2,40.7473867,-95.6468803,24,Sidney,239,Education and Childcare
Seventh,Cass,"Cumberland, Massena",Library Service,"Public School, Public Library",0,3,3,41.253889,-94.768889,23,Massena,238,Education and Childcare
Seventh,Cass,"Anita, Cumberland, Massena",Recreational Leadership,County Superintendent of Schools,0,5,5,41.2541538,-94.7683113,22,Massena,233,Recreation
Seventh,Adams,"Corning, Prescott",Hot School Lunches,High School,0,5,5,41.0225,-94.6125,21,Prescott,230,Health and Nutrition
Sixth,Story,"Ames, Nevada",Clerical Assistance,"Farm Security Administration, State Extension Service, State Employment Service, City, Iowa State College, County Board of Supervisors",0,33,33,42.019167,-93.451667,20,Nevada,224,Clerical
Sixth,Polk,"Ankeny, Des Moines",Hot School Lunches,School Board and School District,0,25,25,41.5910323,-93.6046655,19,Des Moines,207,Health and Nutrition
Sixth,Marion,"Knoxville, Melcher, Pella",Clerical Assistance,"County Board of Supervisors, Farm Security Administration",2,12,14,41.4080534,-92.9163091,18,Pella,200,Clerical
Sixth,Marion,"Hamilton, Pershing",Hot School Lunches,"School District, Board of Education",5,9,14,41.262698,-93.007343,17,Pershing,199,Health and Nutrition
Sixth,Dallas,"Adel, Dawson, Granger, Perry, Van Meter",Library Service,"Public School, Public Library",0,9,9,41.8386702,-94.1067623,16,Perry,193,Education and Childcare
Sixth,Dallas,"Adel, Waukee",Hot School Lunches,"Public School, Consolidated School",0,6,6,41.608889,-93.865278,15,Waukee,192,Health and Nutrition
Sixth,Dallas,"Adel, Perry",Clerical Assistance,"Farm Bureau, County Superintedent of Schools, State Employment Service, Board of Social Welfare",2,9,11,41.8386702,-94.1067623,14,Perry,190,Clerical
Fifth,Monroe,"Albia, Lovilia",Clerical Assistance,"State Employment Service, Farm Security Administration, County Agent, Agriculture Adjustment Administration, Department of Health, City, Social Welfare.",1,23,24,41.1358371,-92.9040881,13,Lovilia,164,Clerical
Fifth,Jasper,"Colfax, Newton",Library Service,"Library Board, Public Library",0,8,8,41.6777666,-93.245205,12,Colfax,145,Education and Childcare
Fifth,Appanoose,"Jerome, Mystic, Numa",Hot School Lunches,"High School, Board of Education",3,20,23,40.685556,-92.978611,11,Numa,133,Health and Nutrition
Fifth,Appanoose,"Cincinnati, Udell",Library Service,Board of Education,0,7,7,40.780278,-92.741389,10,Udell,131,Education and Childcare
Fourth,Winneshiek,"Decorah, Ossian",Clerical Assistance,"State Employment Service, County Board of Supervisors, County Nurse, Welfare Office, Farm Security Administration, County Farm Bureau, Public Schools",0,6,6,43.146389,-91.763889,9,Ossian,124,Clerical
Fourth,Floyd,"Charles City, Nora Springs",Library Service,Board of Education,2,17,19,43.143889,-93.008889,8,Nora Springs,117,Education and Childcare
Fourth,Fayette,"Fayette, Oelwein, West Union",Clerical Assistance,"County Board of Supervisors, State Employment Service, County Superintendent of Schools, Farm Security Administration",0,10,10,42.9627837,-91.808219,7,West Union,106,Clerical
Fourth,Clayton,"Elkader, Guttenberg, McGregor",Clerical Assistance,"State Employment Service, County Board of Supervisors, U.S. Fish Hatchary, United States Soil Conservation Service",0,7,7,43.0184865,-91.1825165,6,McGregor,99,Clerical
Fourth,Allamakee,"Lansing, Waukon",Clerical Assistance,"City, County Board of Supervisors, County Nurse",0,2,2,43.361389,-91.223333,5,Lansing,83,Clerical
Third,Wright,"Clarion, Eagle Grove",Clerical Assistance,"State Employment Service, City, Farm Security Administration, State Agriculture Extension Service",0,18,18,42.664138,-93.9043905,4,Eagle Grove,79,Clerical
Third,Butler,"Aplington, Greene, Parkersburg",Library Service,Board of Education,0,7,7,42.5740738,-92.7819013,3,Parkersburg,62,Education and Childcare
Third,Black Hawk,"Hudson, Waterloo",Library Service,City,0,5,5,42.408889,-92.452222,2,Hudson,55,Education and Childcare
Third,Black Hawk,"Cedar Falls, Waterloo",Clerical Assistance,"City, State Employment Service, County Auditor",1,37,38,42.4979693,-92.3329637,1,Waterloo,54,Clerical
First,Des Moines,Burlington,Sewing Room,City,0,38,38,40.8075391,-91.1129234,0,Burlington,1,Textiles
First,Des Moines,Burlington,Workshop,City,150,45,195,40.8075391,-91.1129234,0,Burlington,2,Workshop
First,Des Moines,Burlington,Clerical Assistance,"City, County Health Nures, County Farm Bureau, State Employment Service",2,18,20,40.8075391,-91.1129234,0,Burlington,3,Clerical
First,Des Moines,Sperry,Hot School Lunches,Board of Education,0,4,4,40.9577342,-91.15874,0,Sperry,4,Health and Nutrition
First,Henry,Mount Pleasant,Repairing State Hospital,State Hospital,66,0,66,40.966312,-91.5539956,0,Mount Pleasant,5,Construction and Infrastructure
First,Henry,Mount Pleasant,Clerical Assistance,"County Board of Supervisors, Farm Security Administration, County Farm Bureau",3,18,21,40.966312,-91.5539956,0,Mount Pleasant,6,Clerical
First,Henry,Mount Pleasant,Hospital Assistance,State Hospital,0,7,7,40.966312,-91.5539956,0,Mount Pleasant,7,Health and Nutrition
First,Iowa,Marengo,Clerical Assistance,State Employment Service,0,2,2,41.8001041,-92.069382,0,Marengo,8,Clerical
First,Jefferson,Fairfield,Laying Water Lines,City,50,0,50,41.0087364,-91.9626486,0,Fairfield,9,Construction and Infrastructure
First,Jefferson,Fairfield,Clerical Assistance,"City, Farm Credit Association, Farm Security Administration, County Farm Bureau, Board of Education",0,6,6,41.0087364,-91.9626486,0,Fairfield,10,Clerical
First,Jefferson,Fairfield,Library Service,"City, Board of Education",0,12,12,41.0087364,-91.9626486,0,Fairfield,11,Education and Childcare
First,Jefferson,Fairfield,Constructing Social & Recreational Building,City Park Board,27,0,27,41.0087364,-91.9626486,0,Fairfield,12,Construction and Infrastructure
First,Jefferson,Packwood,Construcing City Hall,City,30,0,30,41.1328058,-92.0827361,0,Packwood,13,Construction and Infrastructure
First,Johnson,Iowa City,Workshop,University of Iowa,25,18,43,41.6612561,-91.5299106,0,Iowa City,14,Workshop
First,Johnson,Iowa City,Hospital Assistance,University of Iowa,5,7,12,41.6612561,-91.5299106,0,Iowa City,15,Health and Nutrition
First,Johnson,Iowa City,Working in Visual Aid Department,University of Iowa,6,4,10,41.6612561,-91.5299106,0,Iowa City,16,Workshop
First,Johnson,Iowa City,Clerical Assistance,University of Iowa,0,2,2,41.6612561,-91.5299106,0,Iowa City,17,Clerical
First,Lee,Denmark,Repairing the Grounds,Board of Education,28,0,28,40.7420887,-91.3341582,0,Denmark,18,Construction and Infrastructure
First,Lee,Denmark,Hot School Lunches,Board of Education,0,2,2,40.7420887,-91.3341582,0,Denmark,19,Health and Nutrition
First,Lee,Fort Madison,Constructing Educational Buildings,Board of Education,60,0,60,40.6299403,-91.3151908,0,Fort Madison,20,Construction and Infrastructure
First,Lee,Fort Madison,Clerical,Farm Security Administration,3,0,3,40.6299403,-91.3151908,0,Fort Madison,21,Clerical
First,Lee,Keokuk,Improving Parks,City,41,0,41,41.3154792,-92.1867128,0,Keokuk,22,Construction and Infrastructure
First,Lee,Keokuk,Enlarging Cemetery,City,16,0,16,41.3154792,-92.1867128,0,Keokuk,23,Construction and Infrastructure
First,Louisa,Wapello,Clerical Assistance,County Farm Bureau,0,1,1,41.0137597,-92.4140217,0,Wapello,24,Clerical
First,Louisa,Wapello,Constructing Cattle Barn at Fairground,City,31,0,31,41.0137597,-92.4140217,0,Wapello,25,Construction and Infrastructure
First,Muscatine,Muscatine,Sewing Room,City,0,84,84,41.4776121,-91.1210053,0,Muscatine,26,Textiles
First,Muscatine,Muscatine,Constructing Shelter & Pumphouse in Wildcat Den State Park,State Conservation Comission,30,0,30,41.4776121,-91.1210053,0,Muscatine,27,Construction and Infrastructure
First,Muscatine,Muscatine,Workshop,City,38,1,39,41.4776121,-91.1210053,0,Muscatine,28,Workshop
First,Van Buren,Farmington,Workshop,City,34,26,60,40.6409932,-91.739112,0,Farmington,29,Workshop
First,Van Buren,Keosauqua,Clerical Assistance,State Employment Service,0,5,5,40.731485,-91.9636373,0,Keosauqua,30,Clerical
First,Washington,Washington,Street Improvement,City,46,0,46,41.3160082,-91.7340327,0,Washington,31,Construction and Infrastructure
Second,Clinton,Clinton,Sewing Room,County Board of Supervisors,0,57,57,41.9054695,-90.5599971,0,Clinton,32,Textiles
Second,Clinton,Clinton,Workshop,County Board of Supervisors,77,0,77,41.9054695,-90.5599971,0,Clinton,33,Workshop
Second,Dubuque,Dubuque,Constructing Log Cabin,Park Board,30,0,30,42.5006217,-90.6647967,0,Dubuque,34,Construction and Infrastructure
Second,Dubuque,Dubuque,Workshop,County Board of Supervisors,167,0,167,42.5006217,-90.6647967,0,Dubuque,35,Workshop
Second,Dubuque,Dubuque,Sewing Room,County Board of Supervisors,0,217,217,42.5006217,-90.6647967,0,Dubuque,36,Textiles
Second,Dubuque,Dubuque,Recreational Leadership,County Board of Supervisors,7,10,17,42.5006217,-90.6647967,0,Dubuque,37,Recreation
Second,Jackson,Maquoketa,Woodworking Shop,County Board of Supervisors,33,0,33,42.069102,-90.6656659,0,Maquoketa,38,Workshop
Second,Jackson,Maquoketa,Conservation Work in Maquokata Caves State Park,State Conservation Commission,22,0,22,42.069102,-90.6656659,0,Maquoketa,39,Conservation
Second,Jackson,Sabula,Conservation Work at Fish Hatchery,State Conservation Commission,8,0,8,42.0711161,-90.1740278,0,Sabula,40,Conservation
Second,Jones,Monticello,Park Improvement,City,55,1,56,42.2382752,-91.1869428,0,Monticello,41,Construction and Infrastructure
Second,Linn,Cedar Rapids,Sewing Room,City,6,4,10,41.9758872,-91.6704053,0,Cedar Rapids,42,Textiles
Second,Linn,Cedar Rapids,Clerical Assistance,"State Employment Service, Farm Security Administration, County Farm Bureau, Reserve Officers Association, R.E.A",1,91,92,41.9758872,-91.6704053,0,Cedar Rapids,43,Clerical
Second,Linn,Cedar Rapids,Sewing Room,City,0,13,13,41.9758872,-91.6704053,0,Cedar Rapids,44,Textiles
Second,Linn,Marion,Workshop,City,145,0,145,41.3144108,-93.1010141,0,Marion,45,Workshop
Second,Scott,Davenport,Workshop,County Board of Supervisors,50,0,50,41.5236436,-90.5776368,0,Davenport,46,Workshop
Second,Scott,Davenport,Sewing Room,County Board of Supervisors,0,104,104,41.5236436,-90.5776368,0,Davenport,47,Textiles
Second,Scott,Davenport,Clerical Assistance,State Employment Service,0,3,3,41.5236436,-90.5776368,0,Davenport,48,Clerical
Second,Scott,Davenport,Improving City Cemetery,City,64,0,64,41.5236436,-90.5776368,0,Davenport,49,Construction and Infrastructure
Second,Scott,Rock Island,NYA Workshop,United States Army,131,63,194,41.5094771,-90.5787477,0,Rock Island,50,Workshop
Third,Benton,Belle Plaine,Clerical Assistance,City,0,5,5,41.8967478,-92.2773184,0,Belle Plaine,51,Clerical
Third,Benton,Belle Plaine,Workshop,City,31,0,31,41.8967478,-92.2773184,0,Belle Plaine,52,Workshop
Third,Benton,Vinton,Sewing Room,City,0,19,19,42.1662438,-92.021343,0,Vinton,53,Textiles
Third,Black Hawk,Waterloo,Workshop,County,92,0,92,42.4979693,-92.3329637,0,Waterloo,56,Workshop
Third,Black Hawk,Waterloo,Reparing 9 Skating Rinks,City,15,0,15,42.4979693,-92.3329637,0,Waterloo,57,Construction and Infrastructure
Third,Black Hawk,Waterloo,Sewing Room,City,0,128,128,42.4979693,-92.3329637,0,Waterloo,58,Textiles
Third,Bremer,Waverly,Library Service,City,0,1,1,42.7258142,-92.4754626,0,Waverly,59,Education and Childcare
Third,Bremer,Waverly,Clerical Assistance,"State Employment Service, County Board of Supervisors, Farm Security Administration, County Agent",1,9,10,42.7258142,-92.4754626,0,Waverly,60,Clerical
Third,Butler,Allison,Rural Electrification Work,Butler County Co-operative,5,0,5,42.7527548,-92.7951945,0,Allison,61,Construction and Infrastructure
Third,Butler,Clarksville,Park Improvement,State Conservation Commission,11,0,11,42.7766355,-92.66791089,0,Clarksville,63,Construction and Infrastructure
Third,Butler,Parkersburg,Clerical Assistance,"State Employment Service, County Board of Supervisors, Farm Security Administration, County Agent",0,1,1,42.5740738,-92.7819013,0,Parkersburg,64,Clerical
Third,Franklin,Geneva,Library Service,Board of Education,0,2,2,42.6749401,-93.1303862,0,Geneva,65,Education and Childcare
Third,Franklin,Hampton,Rural Electrification Work,Federal Cooperative Power Association,10,0,10,42.7420086,-93.2022735,0,Hampton,66,Construction and Infrastructure
Third,Franklin,Hampton,Park Improvement,State Conservation Commission,30,0,30,42.7420086,-93.2022735,0,Hampton,67,Construction and Infrastructure
Third,Franklin,Hampton,Clerical Assistance,"State Employment Service, County Board of Supervisors, State Agriculture Extension Service",0,6,6,42.7420086,-93.2022735,0,Hampton,68,Clerical
Third,Hardin,Eldora,Workshop,City,72,0,72,42.360816,-93.0996464,0,Eldora,69,Workshop
Third,Hardin,Eldora,Constructing Stream Improvement Devices,State Conservation Commission,14,0,14,42.360816,-93.0996464,0,Eldora,70,Construction and Infrastructure
Third,Hardin,Eldora,Clerical Assistance,"City, County Farm Bureau, County Welfare Office, County Superintendent of Schools",0,6,6,42.360816,-93.0996464,0,Eldora,71,Clerical
Third,Hardin,Iowa Falls,Hospitial Assistance,City,0,8,8,42.5210019,-93.2636705,0,Iowa Falls,72,Health and Nutrition
Third,Marshall,Marshalltown,Park Improvement,City,49,0,49,42.0442545,-92.9123388,0,Marshalltown,73,Construction and Infrastructure
Third,Marshall,Marshalltown,Clerical Assistance,"State Employment Service, County Relief Office, Public Library, County Tresurer",1,8,9,42.0442545,-92.9123388,0,Marshalltown,74,Clerical
Third,Marshall,Marshalltown,Hospitial Assistance,Iowa Soldier's Home,0,4,4,42.0442545,-92.9123388,0,Marshalltown,75,Health and Nutrition
Third,Tama,Toledo,Workshop,County Board of Supervisors,44,0,44,41.9958519,-92.5790517,0,Toledo,76,Workshop
Third,Tama,Toledo,Clerical Assistance,"Farm Bureau, County Conservation Commission. Relief Office",0,6,6,41.9958519,-92.5790517,0,Toledo,77,Clerical
Third,Tama,Toledo,Resident Center for Girls,State Juvenile Home,0,20,20,41.9958519,-92.5790517,0,Toledo,78,Education and Childcare
Third,Wright,Dows,Library Service,Board of Education,0,1,1,42.6562699,-93.502601,0,Dows,80,Education and Childcare
Third,Wright,Eagle Grove,Workshop,City,44,0,44,42.664138,-93.9043905,0,Eagle Grove,81,Workshop
Third,Wright,Eagle Grove,Sewing Room,City,0,26,26,42.664138,-93.9043905,0,Eagle Grove,82,Textiles
Fourth,Allamakee,Waukon,Construction of Swimming Pool,City,31,0,31,43.2694208,-91.475695,0,Waukon,84,Construction and Infrastructure
Fourth,Allamakee,Waukon,Sewing Room,County Board of Supervisors,0,32,32,43.2694208,-91.475695,0,Waukon,85,Textiles
Fourth,Buchanan,Independence,Clerical Assistance,"State Employment Service, Farm Security Administration, County Board of Supervisors, R.E.A",0,10,10,42.4685978,-91.8893386,0,Independence,86,Clerical
